device_ip,pin,timestamp
192.168.1.42,1010,2024-07-31T10:36:58+00:00
192.168.1.42,1010,2024-07-31T10:44:41+00:00
192.168.1.42,1010,2024-07-31T12:51:39+00:00
192.168.1.42,1010,2024-07-31T12:52:30+00:00
192.168.1.42,1010,2024-07-31T12:59:02+00:00
192.168.1.42,1010,2024-07-31T13:17:29+00:00
192.168.1.42,1010,2024-07-31T16:33:07+00:00
192.168.1.42,1010,2024-07-31T17:48:27+00:00
192.168.1.42,1010,2024-07-31T17:50:06+00:00
192.168.1.42,1010,2024-07-31T17:50:45+00:00
192.168.1.42,1010,2024-08-01T00:26:56+00:00
192.168.1.42,1010,2024-08-01T10:58:38+00:00
192.168.1.42,1010,2024-08-01T11:08:57+00:00
192.168.1.42,2,2024-09-19T09:23:17+00:00
192.168.1.42,244,2024-09-19T09:25:33+00:00
192.168.1.42,2,2024-09-19T09:27:11+00:00
192.168.1.42,244,2024-09-19T09:38:49+00:00
192.168.1.42,1086,2024-09-19T14:19:29+00:00
192.168.1.42,1155,2024-09-19T14:19:35+00:00
192.168.1.42,1060,2024-09-19T14:22:07+00:00
192.168.1.42,1249,2024-09-19T14:24:25+00:00
192.168.1.42,1634,2024-09-19T14:25:57+00:00
192.168.1.42,1616,2024-09-19T14:26:52+00:00
192.168.1.42,173,2024-09-19T14:27:34+00:00
192.168.1.42,1106,2024-09-19T14:28:18+00:00
192.168.1.42,1602,2024-09-19T14:28:58+00:00
192.168.1.42,1188,2024-09-19T14:32:14+00:00
192.168.1.42,1188,2024-09-19T14:32:21+00:00
192.168.1.42,528,2024-09-19T14:33:06+00:00
192.168.1.42,162,2024-09-19T14:34:41+00:00
192.168.1.42,1672,2024-09-19T14:49:02+00:00
192.168.1.42,933,2024-09-19T15:00:37+00:00
192.168.1.42,173,2024-09-19T16:04:51+00:00
192.168.1.42,933,2024-09-19T16:05:01+00:00
192.168.1.42,1602,2024-09-20T07:06:53+00:00
192.168.1.42,933,2024-09-20T07:42:56+00:00
